id,start (sec),end (sec),description,length
S1N2U,22.8,33.3,person puts on their shoes.,33.04
S1N2U,12.4,16.7,person turns on a light.,33.04
G3CDA,12.7,23.1,person puts the folded towel down.,23.08
00ZCA,24.9,42.4,person take out a vacuum.,92.88
00ZCA,24.9,42.4,person takes out vacuum.,92.88
00ZCA,35.6,54.0,person tidy up the floor.,92.88
00ZCA,10.5,16.4,person opens closet.,92.88
R6QCQ,2.1,9.0,a person awakens on a living room sofa.,17.71
R6QCQ,10.3,18.8,person watches themselves in the mirror.,17.71
YV521,20.6,28.7,person putting on a shelf behind him.,29.96
YV521,20.6,28.7,person they put the book on a shelf.,29.96
YV521,9.0,17.3,this person is sitting on a bed.,29.96
YV521,20.6,28.0,person puts the book away.,29.96
YV521,0.0,2.8,a person is opening a book.,29.96
YV521,24.6,30.2,person start sneezing.,29.96
67EEN,12.8,18.7,person they stand up.,27.33
ANJNU,1.5,9.5,person runs in.,30.33
ANJNU,18.2,27.3,person turns the light off.,30.33
ANJNU,1.5,9.5,another person runs into the room.,30.33
ANJNU,18.2,27.3,person turns off the light.,30.33
J12SC,10.4,21.4,person takes a camera out of it.,25.96
J12SC,7.8,15.2,the person takes a box off the staircase.,25.96
J12SC,0.0,11.1,a person takes their shoes off.,25.96
J12SC,10.4,21.4,person take a camera out.,25.96
J12SC,11.0,18.2,person opens a box.,25.96
U1BQ0,0.0,3.9,person starts throwing them in boxes.,29.71
U1BQ0,0.0,14.3,a person is seen putting dishes away.,29.71
AADCE,0.0,14.5,the person is drinking water from a water bottle.,31.29
AADCE,16.5,32.0,person playing on their phone.,31.29
AADCE,0.0,14.5,person drinking from a glass of water.,31.29
YV0ZX,11.1,19.1,the person opens the box.,38.21
LE5F4,0.0,6.2,a person takes a camera from the chair.,25.21
BUL4V,18.2,26.1,the person closes the window blinds.,30.25
BUL4V,18.2,26.1,person they close a window.,30.25
BUL4V,18.2,26.1,person close the window.,30.25
PP2FF,16.5,21.3,person the stand up.,31.25
PP2FF,23.4,32.0,person looked out the window.,31.25
PP2FF,0.0,6.2,the person is sitting on the bed eating.,31.25
PP2FF,23.4,32.0,person walk to look out the window.,31.25
PP2FF,0.0,6.2,the person sat on their bed eating some food.,31.25
PP2FF,0.0,6.2,the person was eating sitting on the sofa.,31.25
PP2FF,23.4,32.0,the person was watching out the window.,31.25
W5GEK,28.0,32.0,a person turned on a light.,31.0
JMCRT,0.0,7.3,a person is cooking food on the stove they.,29.25
JMCRT,0.0,8.6,person open the cabinet.,29.25
JMCRT,0.0,7.3,person they stop cooking.,29.25
JMCRT,19.3,29.3,person they talk on their phone.,29.25
0ET8W,6.6,13.8,a person runs into the living room through the doorway.,30.75
FV51S,3.4,10.4,person takes out a blanket.,30.54
Q8UJ8,0.9,5.9,a person opens a bag which sits on the table.,29.0
9GQRI,10.3,18.6,a person cooking on the stove begins sneezing.,42.42
R390Z,24.7,31.7,another person takes a picture with their phone camera.,30.71
X6B0P,10.3,22.7,a person is standing in the hallway undressing.,30.42
KZPBC,11.2,18.6,person opens a book to read.,39.46
U3ANG,25.3,36.0,person puts the laptop in a box.,40.71
U3ANG,0.4,11.4,person opening the closet.,40.71
U3ANG,0.4,11.4,the person opened a closet door.,40.71
KA3ER,14.9,22.1,person opens a cabinet.,30.58
KA3ER,0.0,13.6,a person is putting groceries on a shelf.,30.58
R2KI4,20.4,33.6,person watches something on their laptop.,32.71
R2KI4,20.4,25.6,person put down their camera.,32.71
R2KI4,21.7,34.0,person drinking from a glass of water.,32.71
TVBLW,11.0,19.0,person eating a bag of chips.,32.46
TVBLW,11.0,19.0,a person eats from a bottle at the table.,32.46
TVBLW,11.0,19.0,person eating it.,32.46
JXKPA,14.1,23.9,person pours the contents of the bottle into the glass.,25.71
JXKPA,14.1,23.9,person poured it into a glass.,25.71
S2FLE,9.9,17.2,person put it on a shelf.,30.42
S2FLE,9.9,17.2,a person is putting homework on a shelf.,30.42
S2FLE,15.2,25.5,a person is sneezing.,30.42
NALYS,17.6,28.1,person puts it in the box.,30.88
NALYS,0.0,7.1,person opens box of clothes.,30.88
NALYS,11.3,21.0,person starts smiling.,30.88
NALYS,0.0,7.1,person opens box.,30.88
NALYS,11.4,17.9,person carries box out of closet.,30.88
0BX9N,11.8,21.4,person opens bag.,22.58
0BX9N,13.8,24.0,person takes out books.,22.58
0BX9N,11.8,21.4,person they open the bag.,22.58
0BX9N,0.0,9.8,person takes the homework back out of the bag.,22.58
0BX9N,3.5,10.2,a person puts down a bag.,22.58
JIOD0,5.3,19.4,person tidying up the blanket.,30.54
GZMJK,0.7,15.1,a person is sneezing with a towel over their heads.,31.96
GZMJK,27.1,33.0,the person eats a sandwich.,31.96
CW4AU,25.8,35.2,person run around the room.,34.71
CW4AU,25.8,35.2,person runs around the room once.,34.71
CW4AU,18.5,27.9,person they put their shoes on.,34.71
CW4AU,18.5,27.9,the person puts on shoes.,34.71
KC863,9.9,17.8,person puts it on a shelf.,35.08
TPHRR,1.0,8.0,a person is smiling.,36.5
TPHRR,0.0,13.0,a person is sitting in a chair.,36.5
TPHRR,0.0,13.0,person sitting on a chair.,36.5
TW3RS,4.6,10.2,person smiling in a mirror.,26.96
19ZJB,19.9,27.9,another person is putting books by the television.,30.71
19ZJB,7.1,11.9,this person opens a door.,30.71
E1VFZ,0.5,6.0,a person puts a box on a desk.,13.21
VCU4P,0.0,4.0,a woman is smiling at a young guy.,26.92
VCU4P,0.0,4.0,a person is smiling.,26.92
OMFOJ,15.2,21.1,the person opens the window.,30.04
OMFOJ,19.7,25.2,person puts their cleaning supplies down on a nearby shelf.,30.04
8JT6S,0.0,7.5,a person walks to a sofa holding a pillow.,29.5
0YOXV,0.0,5.0,person drinking bottle of water.,30.29
0YOXV,0.0,5.0,a person is drinking water from a bottle.,30.29
0YOXV,2.1,10.0,person is smiling at picture on phone.,30.29
HSH5R,8.7,15.8,person stand up.,30.92
HSH5R,0.0,13.0,person someone is sitting at a table writing on something.,30.92
LZEWE,23.0,28.0,person fixed their hair.,32.0
LZEWE,0.0,12.4,person putting clothes into a box.,32.0
2JR26,29.4,38.0,person they start drinking some coffee from a glass.,38.04
1TW98,12.4,21.5,person closing a door.,29.33
X8A6H,15.2,24.0,the person puts the homework on the shelf.,28.21
X8A6H,1.2,7.8,a person awakens on the floor of the closet.,28.21
8Y7P5,0.0,5.0,one person runs out of the garage.,28.75
8Y7P5,0.0,5.0,person another is running out a doorway.,28.75
WPZQ7,10.0,20.0,person takes off his shoes.,25.71
WPZQ7,10.0,20.0,the person takes off their shoes.,25.71
XF93D,4.0,11.0,person they close the door.,24.29
XF93D,2.5,8.0,a person puts away a broom.,24.29
XF93D,2.5,8.0,person puts broom in the closet.,24.29
XF93D,22.3,25.0,person opens a door.,24.29
Y9JWG,0.0,12.3,person washing dishes at the sink.,30.67
Y9JWG,1.5,8.0,person looking out the window.,30.67
GK15U,0.7,6.9,a person sits on the sofa.,31.79
GK15U,29.9,33.0,person playing on their phone.,31.79
GK15U,27.9,33.0,person eating a bag of chips.,31.79
LFU36,0.0,12.6,a person holding a laptop puts it on the stove.,27.42
LFU36,0.0,12.6,a person holding a laptop opens the refrigerator door.,27.42
LFU36,2.7,9.1,person opens a refrigerator.,27.42
VTEWM,20.3,29.4,person opens the book.,45.92
VTEWM,1.0,6.8,person sits on the edge of the bed.,45.92
P3EW1,2.1,14.7,person takes off their shoes.,38.92
SSP8C,7.7,17.4,a person awakens in bed.,30.12
J1YJ6,3.6,13.3,person opens a window.,34.88
J1YJ6,3.6,13.3,person opens a window sits on a sofa.,34.88
J1YJ6,3.8,15.8,a person is looking out a window.,34.88
TD6CM,4.0,14.0,person started dressing.,31.54
ZCULX,15.6,26.0,the person starts smiling tries to read a book.,24.75
ZCULX,15.6,26.0,person reading a book at a desk.,24.75
ZCULX,5.8,14.0,person eating a sandwich.,24.75
9X208,14.0,25.6,a person awakens in bed.,30.29
9X208,24.0,30.4,person leaves by opening a door.,30.29
9X208,22.2,26.8,person takes a towel off of a table.,30.29
9X208,23.2,30.9,person walking through the doorway.,30.29
9X208,22.2,26.8,person takes a towel.,30.29
7VSIV,0.0,11.3,a person is standing on a chair.,30.42
7VSIV,0.0,11.3,a person stands on a chair.,30.42
EJJIO,4.8,10.5,a person opens a cabinet.,27.58
EJJIO,4.8,10.5,person opens a cabinet.,27.58
EJJIO,10.4,23.2,person closes the cabinet.,27.58
NOLQ7,18.8,26.8,person they put the dishes down.,31.75
NOLQ7,18.8,26.8,person puts away a dish.,31.75
YMM1Z,14.4,22.2,the person runs to the refrigerator.,22.62
ZKOCS,11.8,20.6,the person begins eating from the plate.,30.0
ZKOCS,11.8,20.6,person begins to eat.,30.0
ZKOCS,9.0,17.5,person sitting down at the table.,30.0
VY1GQ,20.8,29.8,the person starts laughing.,34.46
VY1GQ,18.0,29.9,person looking out the window.,34.46
VY1GQ,9.7,20.8,person smiling at their reflection.,34.46
VY1GQ,0.0,6.3,person wash hands at sink.,34.46
6U082,19.4,25.0,person run off.,23.88
6U082,19.4,25.0,person run out of the room.,23.88
PIMO4,1.8,10.3,a person is running into the room holding a pillow.,30.04
PIMO4,28.1,31.0,person begins playing on their phone.,30.04
Q9H04,1.6,6.9,a person is in the rec room undressing.,29.92
Q9H04,3.2,10.2,person throwing their clothes about.,29.92
Q9H04,8.9,14.7,person b is eating from a bag.,29.92
Q9H04,8.9,14.7,is approached by another person eating a snack.,29.92
Q9H04,8.9,14.7,another person walks in eating a cracker.,29.92
Q9H04,1.6,6.9,a person is undressing.,29.92
WFUK2,12.1,22.0,person they are smiling.,20.5
WR2Q2,0.0,7.6,a person is eating a sandwich from a dish.,28.88
GC1Q1,0.0,5.1,a person opening a door is carrying a towel.,16.08
GC1Q1,6.6,11.6,person they put the towel.,16.08
O45BC,11.1,16.1,person throws some clothes on the floor.,23.88
O45BC,0.6,11.0,a person puts down a laptop.,23.88
O45BC,11.1,16.1,person throws clothing on floor.,23.88
FEWUR,21.2,31.4,person throw their shoes.,30.71
FEWUR,21.4,31.2,person takes off their shoes.,30.71
1U9TF,10.0,19.4,a person begins sneezing.,22.0
1U9TF,10.0,19.4,person starts sneezing.,22.0
IZZ3Y,10.4,18.1,the person opens up a laptop computer.,33.12
IZZ3Y,5.3,11.6,person take it with a glass of water.,33.12
IZZ3Y,10.4,18.1,person opening a laptop.,33.12
IZZ3Y,4.8,12.3,person takes some more medicine with another drink of water.,33.12
IZZ3Y,4.8,12.3,a person takes some medicine with a drink of water.,33.12
U5B14,0.0,3.0,person someone sitting on a chair.,30.0
U5B14,0.0,3.0,a person is sitting in a chair in the bathroom.,30.0
WZ351,0.4,16.2,a person is smiling.,32.62
U03TA,7.1,15.2,person puts the pillow down on a bench.,30.75
U03TA,0.0,13.4,a man holds a pillow.,30.75
JQHIC,6.6,14.8,a person is opening a closet.,31.08
JQHIC,7.0,13.4,another person opens the door to the closet.,31.08
ZDX0Y,0.0,6.6,person is looking at a book.,30.83
ZDX0Y,5.9,17.3,person puts book in a box.,30.83
XYGU1,0.0,2.9,a person is standing a dining room holding a book.,31.25
XYGU1,0.0,2.9,the person is holding a book.,31.25
XYGU1,11.8,20.5,person opens the book.,31.25
XYGU1,14.6,20.9,person takes a drink from a cup.,31.25
Q9TIN,18.8,24.8,a person is closing a door by holding the doorknob.,30.33
IZCB0,0.0,14.3,person closing a cabinet.,29.17
IZCB0,2.2,12.2,person closing closet door.,29.17
YL612,12.4,18.3,person throws them on to the floor.,31.54
YL612,12.4,18.3,person throwing a pile of clothes onto the floor.,31.54
DU7H1,9.4,32.1,person begins tidying the dining room table.,46.54
DU7H1,1.3,13.2,person talking on the phone.,46.54
DU7H1,39.7,48.0,person is smiling.,46.54
39LQ8,13.3,18.9,person runs away.,21.33
39LQ8,7.4,16.4,person opens a cardboard box.,21.33
39LQ8,13.3,18.9,person runs out of the room.,21.33
GU43L,0.0,6.6,person takes their shoes off.,29.38
SLMQF,4.7,9.4,person puts the clothes down.,33.38
SLMQF,10.9,19.9,a person takes off some clothes.,33.38
SLMQF,22.1,27.1,person takes a book from a chair.,33.38
SLMQF,13.7,20.7,person gets redressed.,33.38
SLMQF,13.7,20.7,a person is undressing.,33.38
SLMQF,4.7,9.4,person than puts clothes back on.,33.38
U3NKR,4.2,11.4,person they put the towel on the door.,47.96
TLSUX,0.0,4.2,person runs into the laundry room.,27.71
TLSUX,0.0,4.2,person is running though doorway.,27.71
GVX7E,0.0,7.2,a person walks through a doorway into a kitchen.,40.29
WV9FZ,4.4,11.2,person eating potato chips.,28.58
WV9FZ,4.4,11.2,person eats the food.,28.58
WV9FZ,3.0,8.2,the person takes food from a package.,28.58
6KDQO,21.3,27.5,person stand up.,29.79
6KDQO,18.6,28.6,person puts the glass on a chair.,29.79
S2EXT,2.7,12.1,person opens the door.,30.96
RRDAM,18.7,24.0,person run from the room.,26.17
RRDAM,15.7,23.0,person closes the door.,26.17
RRDAM,18.7,24.0,person runs out of the room.,26.17
RRDAM,1.9,8.5,a person walks into the laundry room from the doorway.,26.17
RRDAM,1.5,12.7,person holding a pillow.,26.17
41CZS,12.5,19.6,person takes off their jacket they pick a blanket up.,28.25
41CZS,14.3,23.4,person next the open a door.,28.25
41CZS,2.3,15.7,a person undresses by taking off a jacket.,28.25
V34GF,12.9,20.4,person they put the glass on a counter.,20.83
V34GF,12.9,20.4,the person puts the empty glass down on a desk.,20.83
01KML,22.0,35.0,the person begins watching their laptop intently.,33.67
FERH5,3.3,9.4,person is opening medicine cabinet.,30.04
FERH5,3.3,9.4,a person is opening their medicine cabinet.,30.04
FERH5,17.3,22.2,person starts sneezing.,30.04
FERH5,26.0,31.0,person they sneeze as they close the medicine cabinet.,30.04
NOJK1,23.7,29.0,person they take a phone from a chair.,32.29
NOJK1,25.3,33.0,person play with the phone.,32.29
NOJK1,4.5,16.4,a person awakens in a chair.,32.29
NOJK1,23.7,29.0,the person takes their phone from the bed.,32.29
V3RAX,3.5,10.4,a person is undressing under a blanket.,27.96
V3RAX,14.8,24.4,person tidying up dirty clothes.,27.96
V3RAX,9.6,21.2,person straightens clothes than takes a bite of a sandwich.,27.96
V3RAX,20.8,29.0,person finally eating a sandwich in a basement.,27.96
QNKDI,18.3,33.0,person reading a book.,32.21
QNKDI,24.9,33.0,the person holding the book decides to stand up.,32.21
GIC6A,0.0,7.7,person holding a sandwich.,16.88
GIC6A,0.0,7.7,a person enters through a doorway holding a sandwich.,16.88
GIC6A,0.0,2.7,person walks back to the doorway.,16.88
NCDE3,0.0,10.7,the person is eating by the refrigerator.,26.46
NCDE3,0.0,10.7,a person walks into a kitchen eating some food.,26.46
NCDE3,0.0,10.7,person eating something.,26.46
UB3KO,4.2,11.2,person cooking a piece of meat.,42.92
UB3KO,20.8,26.3,person opens their laptop.,42.92
UB3KO,4.2,11.2,person cooks something.,42.92
FIV2P,14.5,19.4,a person is putting small items into a bag.,31.04
AGELP,5.9,13.1,one person opens a window.,29.12
AGELP,18.0,27.4,another person takes a bag.,29.12
AGELP,5.9,13.1,person begins to open the window.,29.12
AGELP,9.8,15.4,person starts sneezing.,29.12
X29NF,1.0,15.9,a person is sneezing.,42.79
X29NF,18.1,31.3,person watches themselves undress in front of a mirror.,42.79
XHGV7,1.0,10.0,a person opens a cabinet.,39.33
X89FW,0.0,18.2,a person looks out a window.,38.96
X89FW,0.0,18.2,a person is looking out the window.,38.96
X89FW,1.3,6.3,a person is laughing at something outside the window.,38.96
X89FW,1.3,6.3,person laughing they move from the window.,38.96
A4SR3,17.1,23.8,the person puts the food aside.,30.04
N7ZBM,8.8,13.6,a person can throw a broom in the living room.,30.46
N7ZBM,8.8,13.6,person throw the broom on the floor.,30.46
56XKK,4.3,12.3,person puts the bag of groceries down.,38.17
56XKK,4.3,12.3,person puts away a few groceries.,38.17
EIB97,0.0,8.1,a person is dressing in clothes from a hamper.,32.29
EIB97,25.6,31.3,person put the bag on a shelf.,32.29
EIB97,25.6,31.3,person put it on the shelf.,32.29
ZXHLY,2.0,16.0,person washing the glass.,31.58
ZXHLY,2.0,16.0,person washes cup with water that is in the bucket.,31.58
P9D7P,16.2,27.3,person looking out the window.,30.75
P9D7P,16.2,27.3,person looks out window.,30.75
B6S6T,8.1,12.8,person looked out the window.,27.58
B6S6T,8.1,12.8,the person looks out the window.,27.58
B6S6T,1.3,7.5,a person puts a pillow in a clothes dryer.,27.58
GFFJM,24.2,32.0,person closes the door.,31.33
GFFJM,25.4,32.0,person stands up to stretch turns off the light.,31.33
WBATR,27.2,34.0,person undressing in a hallway.,33.33
WBATR,24.6,32.5,person eats it.,33.33
WBATR,24.6,32.5,person eating food.,33.33
WBATR,0.0,6.4,a person is drinking a glass of wine.,33.33
DAS12,27.8,35.0,person puts them on a shelf.,33.79
DAS12,27.6,35.0,person puts shoes into a bag.,33.79
DAS12,27.6,35.0,person puts the bag on a shelf.,33.79
DAS12,17.8,30.3,person puts some shoes in it.,33.79
MUK89,21.1,26.9,person turns off a light.,30.71
W2LM5,0.0,5.4,person talking on a phone.,34.25
W2LM5,0.0,5.4,person talking on the phone.,34.25
JJON5,6.7,14.7,person opens the refrigerator.,27.79
JJON5,3.0,8.3,the person walks through a doorway to the kitchen.,27.79
73X8Q,5.6,11.2,the person drinks from a cup.,30.29
73X8Q,5.6,11.2,person drink from their glass.,30.29
73X8Q,13.2,22.3,person walks through a doorway.,30.29
73X8Q,0.6,6.2,a person takes a phone off the dryer.,30.29
O5N93,23.6,29.0,person he puts the sandwich down.,33.71
O5N93,0.0,2.8,a smiling person is in their pantry eating a sandwich.,33.71
NDX21,9.8,21.6,person holding their phone.,33.42
U0ACD,21.0,28.3,person takes some medicine.,28.5
WPR8G,19.0,26.9,person bend down to put their shoes on.,31.21
WPR8G,19.0,26.9,person begin putting on some shoes.,31.21
869NM,1.0,10.3,the person opens a box.,23.04
869NM,1.0,10.3,person they begin to open a box.,23.04
99SGB,0.0,4.1,the person opened the cabinet.,12.88
9R4AQ,0.0,4.7,a person standing drinking a glass of water.,28.42
9R4AQ,0.0,4.7,the person drinks from the glass of water.,28.42
N00HR,19.1,32.0,person looks out the window.,31.25
N00HR,19.3,24.9,person stand up.,31.25
N00HR,19.1,32.0,person look out a window.,31.25
N00HR,4.1,10.3,a person is sitting in a chair smiling.,31.25
N00HR,19.1,32.0,person walks to look out a window.,31.25
WIOCA,11.9,19.5,person talking on a phone.,30.92
WIOCA,11.9,19.5,encounters person b talking on the phone.,30.92
S7RXC,0.0,12.0,a person runs into their hallway holding a bag.,30.38
S7RXC,3.9,12.3,person they turn on the light.,30.38
S7RXC,3.9,12.3,person they turn on a light.,30.38
7HWK2,37.5,40.0,person a book they put on their sweater.,39.46
7HWK2,6.9,15.0,the person puts the cup down.,39.46
7HWK2,0.0,12.5,person pouring coffee from a pot into a glass.,39.46
7HWK2,37.5,40.0,person look at a book.,39.46
7HWK2,37.5,40.0,person looking at a book.,39.46
7HWK2,0.0,12.5,a person pours coffee into a cup.,39.46
WZA37,8.4,14.8,person eating food off a dish.,20.71
